"Ad name",Country,"Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (EGP)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (EGP)","Link clicks",shop_clicks,"CPC (cost per link click) (EGP)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (EGP)","Landing page views","Cost per landing page view (EGP)","Messaging conversations started","Ad ID","Ad set name","Campaign ID","Campaign name","Ad set ID","Reporting starts","Reporting ends",Bid,"Bid type",Objective,"Cost per messaging conversation started (EGP)"
"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 25% وخصومات خاصة...‎""‎",EG,not_delivering,"7-day click or 1-day view",9,actions:onsite_conversion.messaging_conversation_started_7d,0,0,25.35444444,"Using campaign budget",0,228.19,2024-11-01,-,-,-,58779,3.882169,46,,4.960652,0.078259,95,0.161622,2.402,,,9,120212812930900517,"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 25% وخصومات خاصة...‎""‎",120212812930040517,"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 25% وخصومات خاصة...‎""‎",120212812930670517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,25.354444
"New messages ad",EG,not_delivering,"7-day click or 1-day view",4,actions:onsite_conversion.messaging_conversation_started_7d,0,0,39.205,"Using campaign budget",0,156.82,Ongoing,-,-,-,7110,22.056259,25,,6.2728,0.351617,94,1.322082,1.668298,,,4,120206474912170517,"New messages ad set",120206474911880517,"New messages campaign",120206474912120517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,39.205
"Post: ‎""‎خصومات الصيف هتخليك تحضر كل الكورسات الهندسية...‎""‎",EG,not_delivering,"7-day click or 1-day view",,,0,0,,"Using campaign budget",0,86.85,2024-08-04,-,-,-,2061,42.139738,2,,43.425,0.09704,44,2.134886,1.973864,,,,120210747470800517,"Post: ‎""‎خصومات الصيف هتخليك تحضر كل الكورسات الهندسية...‎""‎",120210747470640517,"Post: ‎""‎خصومات الصيف هتخليك تحضر كل الكورسات الهندسية...‎""‎",120210747470730517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,
"منشور Instagram: ‏لو انت طالب أو مهندس وعايز...",EG,not_delivering,"7-day click or 1-day view",2,actions:onsite_conversion.messaging_conversation_started_7d,0,0,44.32972639,"Using campaign budget",0,88.659453,2025-02-17,-,-,-,2016,43.977903,2,,44.329726,0.099206,7,0.347222,12.665636,,,2,120215944354410517,"Instagram Post",120215944353120517,"منشور Instagram: ‏لو انت طالب أو مهندس وعايز...",120215944353220517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,44.329726
"Post: ‎""‎جمع صحابك يلا نبقى قريبين!‎""‎",EG,not_delivering,"7-day click or 1-day view",91,actions:onsite_conversion.messaging_conversation_started_7d,19124,1.826448,10.98098901,"Using campaign budget",0,999.27,2025-05-22,-,-,-,34929,28.608606,276,,3.620543,0.790174,920,2.633915,1.086163,,,91,120224806910540517,"Post: ‎""‎جمع صحابك يلا نبقى قريبين!‎""‎",120224806908830517,"Post: ‎""‎جمع صحابك يلا نبقى قريبين!‎""‎",120224806909210517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,10.980989
"New Engagement Ad",EG,not_delivering,"7-day click or 1-day view",14,actions:onsite_conversion.messaging_conversation_started_7d,0,0,26.29142857,"Using campaign budget",0,368.08,Ongoing,-,-,-,11010,33.431426,45,,8.179556,0.408719,87,0.790191,4.230805,,,14,120213063899690517,"Casoural ad",120213063899590517,"Casoural ad",120213063899620517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,26.291429
"Post: ‎""‎🌙🌙رمضان كريم ياباشمهندسين 👷👷خلينا فاكريين شهر...‎""‎",EG,not_delivering,"7-day click or 1-day view",1,actions:onsite_conversion.messaging_conversation_started_7d,0,0,100,"Using campaign budget",0,100,2024-03-13,-,-,-,5066,19.739439,3,,33.333333,0.059218,106,2.092381,0.943396,,,1,120206701452460517,"Post: ‎""‎🌙🌙رمضان كريم ياباشمهندسين 👷👷خلينا فاكريين شهر...‎""‎",120206701452140517,"Post: ‎""‎🌙🌙رمضان كريم ياباشمهندسين 👷👷خلينا فاكريين شهر...‎""‎",120206701452410517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,100
"Post: ‎""‎خصومات الصيف هتخليك تحضر كل الكورسات الهندسية...‎""‎",EG,not_delivering,"7-day click or 1-day view",64,actions:onsite_conversion.messaging_conversation_started_7d,0,0,23.4375,"Using campaign budget",0,1500,2024-08-05,-,-,-,61065,24.563989,204,,7.352941,0.33407,1106,1.811185,1.356239,,,64,120210762337570517,"Post: ‎""‎خصومات الصيف هتخليك تحضر كل الكورسات الهندسية...‎""‎",120210762336890517,"Post: ‎""‎خصومات الصيف هتخليك تحضر كل الكورسات الهندسية...‎""‎",120210762337040517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,23.4375
"Post: ‎""‎لو انت طالب أو مهندس وعايز تتعلم البرامج الهندسية...‎""‎",EG,not_delivering,"7-day click or 1-day view",17,actions:onsite_conversion.messaging_conversation_started_7d,0,0,28.04679206,"Using campaign budget",0,476.795465,2025-02-16,-,-,-,6691,71.259224,39,,12.225525,0.582873,338,5.051562,1.410637,,,17,120216036460990517,"Post: ‎""‎لو انت طالب أو مهندس وعايز تتعلم البرامج الهندسية...‎""‎",120216036460780517,"Post: ‎""‎لو انت طالب أو مهندس وعايز تتعلم البرامج الهندسية...‎""‎",120216036460890517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,28.046792
"Engineering Students 2025 - 02",EG,not_delivering,"7-day click or 1-day view",67,actions:onsite_conversion.messaging_conversation_started_7d,21020,1.768744,14.45880597,"Using campaign budget",0,968.74,Ongoing,-,-,-,37179,26.056107,186,,5.20828,0.500282,826,2.221684,1.172809,,,67,120226709068740517,"‎Post: ‎""‎جمع صحابك يلا نبقى قريبين!‎""‎‎ - Copy",120226709068730517,"Engineering Students Summer 2025",120226709068750517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,14.458806
"Post: ‎""‎🎓 لو انت طالب أو مهندس وعايز تتعلم البرامج...‎""‎",EG,not_delivering,"7-day click or 1-day view",4,actions:onsite_conversion.messaging_conversation_started_7d,0,0,23.2125,"Using campaign budget",0,92.85,2025-02-15,-,-,-,1897,48.945704,8,,11.60625,0.421719,82,4.322615,1.132317,,,4,120215943485350517,"Post: ‎""‎🎓 لو انت طالب أو مهندس وعايز تتعلم البرامج...‎""‎",120215943485240517,"Post: ‎""‎🎓 لو انت طالب أو مهندس وعايز تتعلم البرامج...‎""‎",120215943485330517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,23.2125
"Post: ‎""‎🌙🌙رمضان كريم ياباشمهندسين 👷👷خلينا فاكريين شهر...‎""‎",EG,not_delivering,"7-day click or 1-day view",2,actions:onsite_conversion.messaging_conversation_started_7d,0,0,63.705,"Using campaign budget",0,127.41,2024-03-20,-,-,-,5165,24.667957,9,,14.156667,0.17425,116,2.245886,1.098362,,,2,120206868474170517,"Post: ‎""‎🌙🌙رمضان كريم ياباشمهندسين 👷👷خلينا فاكريين شهر...‎""‎",120206868474110517,"Post: ‎""‎🌙🌙رمضان كريم ياباشمهندسين 👷👷خلينا فاكريين شهر...‎""‎",120206868474140517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,63.705
"Post: ‎""‎**مطلوب مهندس معماري محترف!**‎""‎",EG,not_delivering,"7-day click or 1-day view",29,actions:onsite_conversion.messaging_conversation_started_7d,5570,1.920646,17.9237931,"Using campaign budget",0,519.79,2025-05-29,-,-,-,10698,48.587586,44,,11.813409,0.411292,525,4.907459,0.990076,,,29,120225357813610517,"Post: ‎""‎**مطلوب مهندس معماري محترف!**‎""‎",120225357813320517,"Post: ‎""‎**مطلوب مهندس معماري محترف!**‎""‎",120225357813380517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,17.923793
"New Engagement Ad with recommended settings",EG,not_delivering,"7-day click or 1-day view",8,actions:onsite_conversion.messaging_conversation_started_7d,0,0,27.44375,"Using campaign budget",0,219.55,Ongoing,-,-,-,3577,61.37825,17,,12.914706,0.475259,83,2.32038,2.645181,,,8,120217514207490517,"New Engagement Ad set with recommended settings",120217514207500517,"Ramadan 2025",120217514207480517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,27.44375
"Post: ‎""‎اخر فرصفة في الصيف ..لو نفسك تبدأ طريقك في المجال...‎""‎",EG,not_delivering,"7-day click or 1-day view",42,actions:onsite_conversion.messaging_conversation_started_7d,4454,1.958464,11.12857143,"Using campaign budget",0,467.4,2025-08-11,-,-,-,8723,53.582483,87,,5.372414,0.997363,355,4.069701,1.31662,2,233.7,42,120230505832910517,"Post: ‎""‎اخر فرصفة في الصيف ..لو نفسك تبدأ طريقك في المجال...‎""‎",120230505832610517,"Post: ‎""‎اخر فرصفة في الصيف ..لو نفسك تبدأ طريقك في المجال...‎""‎",120230505832690517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,11.128571
"منشور Instagram: ‏لو انت طالب أو مهندس وعايز...",EG,not_delivering,"7-day click or 1-day view",1,actions:onsite_conversion.messaging_conversation_started_7d,0,0,100.40402006,"Using campaign budget",0,100.40402,2025-02-15,-,-,-,1562,64.279142,3,,33.468007,0.192061,4,0.256082,25.101005,,,1,120215943742280517,"Instagram Post",120215943742120517,"منشور Instagram: ‏لو انت طالب أو مهندس وعايز...",120215943742240517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,100.40402
"المنشور: ‏""‏🌙🌙رمضان كريم ياباشمهندسين 👷👷خلينا فاكريين شهر...‏""‏",EG,not_delivering,"7-day click or 1-day view",9,actions:onsite_conversion.messaging_conversation_started_7d,0,0,49.58666667,"Using campaign budget",0,446.28,2024-03-21,-,-,-,18934,23.570297,32,,13.94625,0.169008,458,2.418929,0.97441,,,9,120206887841200517,"المنشور: ‏""‏🌙🌙رمضان كريم ياباشمهندسين 👷👷خلينا فاكريين شهر...‏""‏",120206887841140517,"المنشور: ‏""‏🌙🌙رمضان كريم ياباشمهندسين 👷👷خلينا فاكريين شهر...‏""‏",120206887841160517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,49.586667
"New Engagement Ad with recommended settings",EG,not_delivering,"7-day click or 1-day view",3,actions:onsite_conversion.messaging_conversation_started_7d,0,0,58.00333333,250,Daily,174.01,Ongoing,-,-,-,4042,43.05047,6,,29.001667,0.148441,44,1.08857,3.954773,,,3,120217545871690517,"new campaign in Ramadan",120217545871700517,"New Ramadan 4-3-2025",120217545871680517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,58.003333
"Post: ‎""‎بتحلم ونفسك تكون مصمم ديكور محترف وتعرف إزاي تعمل...‎""‎",EG,not_delivering,"7-day click or 1-day view",26,actions:onsite_conversion.messaging_conversation_started_7d,2848,1.959972,10.42756851,"Using campaign budget",0,271.116781,2025-08-13,-,-,-,5582,48.569828,41,,6.612604,0.734504,170,3.045503,1.594805,,,26,120230585664460517,"Post: ‎""‎بتحلم ونفسك تكون مصمم ديكور محترف وتعرف إزاي تعمل...‎""‎",120230585664290517,"Post: ‎""‎بتحلم ونفسك تكون مصمم ديكور محترف وتعرف إزاي تعمل...‎""‎",120230585664340517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,10.427569
"Messages Ad: ‎🎯 ""الفرصة الأخيرة قبل اكتمال المقاعد!""‎",EG,not_delivering,"7-day click or 1-day view",25,actions:onsite_conversion.messaging_conversation_started_7d,5945,2.16804,35.0112,"Using campaign budget",0,875.28,2025-06-29,-,-,-,12889,67.90907,46,,19.027826,0.356893,304,2.3586,2.879211,,,25,120227819347640517,"Messages Ad: ‎🎯 ""الفرصة الأخيرة قبل اكتمال المقاعد!""‎",120227819347260517,"Messages Ad: ‎🎯 ""الفرصة الأخيرة قبل اكتمال المقاعد!""‎",120227819347480517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,35.0112
"Post: ‎""‎حجز لاقوي دبلومة ميكانيكا شاملة معتمدة من...‎""‎",EG,not_delivering,"7-day click or 1-day view",18,actions:onsite_conversion.messaging_conversation_started_7d,0,0,13.88888889,"Using campaign budget",0,250,2024-03-25,-,-,-,8724,28.65658,35,,7.142857,0.401192,172,1.971573,1.453488,,,18,120207066441040517,"Post: ‎""‎حجز لاقوي دبلومة ميكانيكا شاملة معتمدة من...‎""‎",120207066440900517,"Post: ‎""‎حجز لاقوي دبلومة ميكانيكا شاملة معتمدة من...‎""‎",120207066440990517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,13.888889
"Post: ‎""‎📢 خصم 50% على أقوى الكورسات الهندسية بمناسبة رمضان! 🎉‎""‎",EG,not_delivering,"7-day click or 1-day view",46,actions:onsite_conversion.messaging_conversation_started_7d,0,0,24.29965159,"Using campaign budget",0,1117.783973,2025-03-11,-,-,-,25450,43.920785,87,,12.848092,0.341847,644,2.530452,1.735689,,,46,120217654424160517,"Post: ‎""‎📢 خصم 50% على أقوى الكورسات الهندسية بمناسبة رمضان! 🎉‎""‎",120217654423960517,"Post: ‎""‎📢 خصم 50% على أقوى الكورسات الهندسية بمناسبة رمضان! 🎉‎""‎",120217654424110517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,24.299652
"Post: ‎""‎اخر فرصفة في الصيف ..لو نفسك تبدأ طريقك في المجال...‎""‎",EG,not_delivering,"7-day click or 1-day view",10,actions:onsite_conversion.messaging_conversation_started_7d,2644,1.53177,20.979,"Using campaign budget",0,209.79,2025-08-19,-,-,-,4050,51.8,25,,8.3916,0.617284,150,3.703704,1.3986,,,10,120230846829870517,"Post: ‎""‎اخر فرصفة في الصيف ..لو نفسك تبدأ طريقك في المجال...‎""‎",120230846829660517,"Post: ‎""‎اخر فرصفة في الصيف ..لو نفسك تبدأ طريقك في المجال...‎""‎",120230846829810517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,20.979
"Post: ‎""‎🎨 نفسك تدخل عالم الديكور وتبقى مصمم محترف؟‎""‎",EG,not_delivering,"7-day click or 1-day view",36,actions:onsite_conversion.messaging_conversation_started_7d,7394,1.670273,18.95111111,"Using campaign budget",0,682.24,2025-09-01,-,-,-,12350,55.242105,65,,10.496,0.526316,295,2.388664,2.312678,,,36,120231541259170517,"Post: ‎""‎🎨 نفسك تدخل عالم الديكور وتبقى مصمم محترف؟‎""‎",120231541258620517,"Post: ‎""‎🎨 نفسك تدخل عالم الديكور وتبقى مصمم محترف؟‎""‎",120231541258890517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,18.951111
"Post: ‎""‎قوي دبلومة ديكور معانا بخصم 30% وخصومات خاصة...‎""‎",EG,not_delivering,"7-day click or 1-day view",56,actions:link_click,0,0,2.17928571,"Using campaign budget",0,122.04,2024-03-30,-,-,-,15529,7.858845,56,,2.179286,0.360616,142,0.914418,0.859437,,,,120207264903390517,"Post: ‎""‎قوي دبلومة ديكور معانا بخصم 30% وخصومات خاصة...‎""‎",120207264902580517,"Post: ‎""‎قوي دبلومة ديكور معانا بخصم 30% وخصومات خاصة...‎""‎",120207264903320517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Traffic,
"‎Post: ‎""‎📢 خصم 50% على أقوى الكورسات الهندسية بمناسبة رمضان! 🎉‎""‎‎ - Copy",EG,not_delivering,"7-day click or 1-day view",6,actions:onsite_conversion.messaging_conversation_started_7d,0,0,40.0548473,"Using campaign budget",0,240.329084,2025-03-16,-,-,-,1983,121.194697,8,,30.041135,0.403429,61,3.076147,3.939821,,,6,120218094800820517,"Post: ‎""‎📢 خصم 50% على أقوى الكورسات الهندسية بمناسبة رمضان! 🎉‎""‎ - Copy",120218094799370517,"Post: ‎""‎📢 خصم 50% على أقوى الكورسات الهندسية بمناسبة رمضان! 🎉‎""‎ - Copy",120218094799770517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,40.054847
"Post: ‎""‎دلوقتي فرصتك مع أقوى كورسات هندسية في مركز...‎""‎",EG,not_delivering,"7-day click or 1-day view",10,actions:onsite_conversion.messaging_conversation_started_7d,3588,1.61427,37.996,"Using campaign budget",0,379.96,2025-09-28,-,-,-,5792,65.600829,14,,27.14,0.241713,170,2.935083,2.235059,,,10,120232853725520517,"Post: ‎""‎دلوقتي فرصتك مع أقوى كورسات هندسية في مركز...‎""‎",120232853723560517,"Post: ‎""‎دلوقتي فرصتك مع أقوى كورسات هندسية في مركز...‎""‎",120232853724580517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,37.996
"30 % OFF NEW 22-9-2025 Ad",EG,not_delivering,"7-day click or 1-day view",29,actions:link_click,7000,1.012143,1.96034483,180,Daily,56.85,Ongoing,-,-,-,7085,8.023994,29,,1.960345,0.409315,96,1.354975,0.592188,,,,120232816058910517,"30 % OFF NEW 22-9-2025 Ad set",120232816058890517,"30 % OFF NEW 22-9-2025 Campaign",120232816058900517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Traffic,
"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 30% وخصومات خاصة...‎""‎",EG,not_delivering,"7-day click or 1-day view",31,actions:onsite_conversion.messaging_conversation_started_7d,0,0,8.74903226,"Using campaign budget",0,271.22,2024-03-31,-,-,-,5615,48.30276,112,,2.421607,1.994657,186,3.312556,1.458172,,,31,120207350488470517,"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 30% وخصومات خاصة...‎""‎",120207350488220517,"Post: ‎""‎اقوي دبلومة ديكور معانا بخصم 30% وخصومات خاصة...‎""‎",120207350488270517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,8.749032
"Post: ‎""‎📢 خصم 50% على أقوى الكورسات الهندسية بمناسبة رمضان! 🎉‎""‎",EG,not_delivering,"7-day click or 1-day view",40,actions:onsite_conversion.messaging_conversation_started_7d,0,0,23.114,"Using campaign budget",0,924.56,2025-03-31,-,-,-,19217,48.111568,64,,14.44625,0.333038,598,3.111828,1.546087,,,40,120218720201700517,"Post: ‎""‎📢 خصم 50% على أقوى الكورسات الهندسية بمناسبة رمضان! 🎉‎""‎",120218720200830517,"Post: ‎""‎📢 خصم 50% على أقوى الكورسات الهندسية بمناسبة رمضان! 🎉‎""‎",120218720201670517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,23.114
"Post: ‎""‎دلوقتي فرصتك مع أقوى كورسات هندسية في مركز...‎""‎",EG,not_delivering,"7-day click or 1-day view",34,actions:onsite_conversion.messaging_conversation_started_7d,5960,2.186074,26.83147059,"Using campaign budget",0,912.27,2025-09-30,-,-,-,13029,70.01842,52,,17.543654,0.39911,331,2.540487,2.756103,,,34,120232963154760517,"Post: ‎""‎دلوقتي فرصتك مع أقوى كورسات هندسية في مركز...‎""‎",120232963154080517,"Post: ‎""‎دلوقتي فرصتك مع أقوى كورسات هندسية في مركز...‎""‎",120232963154560517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,26.831471
"Tailored messages campaign 11/15/2025 Ad",EG,not_delivering,"7-day click or 1-day view",29,actions:onsite_conversion.messaging_conversation_started_7d,4931,1.923748,30.40310345,180,Daily,881.69,Ongoing,-,-,-,9486,92.946447,193,,4.568342,2.034577,303,3.194181,2.909868,,,29,120235955404050517,"MTC 5-11-2025 Ad set",120235955404030517,"MTC 5-11-2025 Campaign",120235955404040517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,30.403103
"Post: ‎""‎حجز لاقوي دبلومة ميكانيكا شاملة معتمدة من...‎""‎",EG,not_delivering,"7-day click or 1-day view",13,actions:onsite_conversion.messaging_conversation_started_7d,0,0,20.59076923,"Using campaign budget",0,267.68,2024-03-31,-,-,-,10910,24.535289,42,,6.373333,0.384968,197,1.805683,1.358782,,,13,120207350537830517,"Post: ‎""‎حجز لاقوي دبلومة ميكانيكا شاملة معتمدة من...‎""‎",120207350537710517,"Post: ‎""‎حجز لاقوي دبلومة ميكانيكا شاملة معتمدة من...‎""‎",120207350537780517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,20.590769
"Post: ‎""‎📢 خصم 50% على أقوى الكورسات الهندسية بمناسبة رمضان! 🎉‎""‎",EG,not_delivering,"7-day click or 1-day view",22,actions:onsite_conversion.messaging_conversation_started_7d,0,0,14.29454545,"Using campaign budget",0,314.48,2025-04-07,-,-,-,4808,65.407654,24,,13.103333,0.499168,211,4.388519,1.490427,,,22,120220180731790517,"Post: ‎""‎📢 خصم 50% على أقوى الكورسات الهندسية بمناسبة رمضان! 🎉‎""‎",120220180728760517,"Post: ‎""‎📢 خصم 50% على أقوى الكورسات الهندسية بمناسبة رمضان! 🎉‎""‎",120220180731430517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,14.294545
"Post: ‎""‎دلوقتي فرصتك مع أقوى كورسات هندسية في مركز...‎""‎",EG,not_delivering,"7-day click or 1-day view",16,actions:onsite_conversion.messaging_conversation_started_7d,5784,1.402144,24.85375,"Using campaign budget",0,397.66,2025-10-04,-,-,-,8110,49.033292,102,,3.898627,1.257707,215,2.651048,1.849581,,,16,120233314517340517,"Post: ‎""‎دلوقتي فرصتك مع أقوى كورسات هندسية في مركز...‎""‎",120233314516820517,"Post: ‎""‎دلوقتي فرصتك مع أقوى كورسات هندسية في مركز...‎""‎",120233314517200517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,24.85375
"Post: ‎""‎طالب في هندسة وعايز تعرف هتعمل أييية اليومين...‎""‎",EG,not_delivering,"7-day click or 1-day view",24,actions:onsite_conversion.messaging_conversation_started_7d,7543,1.720536,33.13354703,"Using campaign budget",0,795.205129,2026-01-19,-,-,-,12978,61.273319,81,,9.817347,0.624133,298,2.296194,2.668474,,,24,120238800566880517,"Post: ‎""‎طالب في هندسة وعايز تعرف هتعمل أييية اليومين...‎""‎",120238800563300517,"Post: ‎""‎طالب في هندسة وعايز تعرف هتعمل أييية اليومين...‎""‎",120238800564140517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,33.133547
"Post: ‎""‎طلاب هندسة والسادة المهندسين يركزو في العرض ده مش...‎""‎",EG,inactive,"7-day click or 1-day view",19,actions:onsite_conversion.messaging_conversation_started_7d,0,0,12.69526316,"Using campaign budget",0,241.21,2024-05-28,-,-,-,9214,26.178641,35,,6.891714,0.379857,270,2.930323,0.89337,,,19,120209343963950517,"Post: ‎""‎طلاب هندسة والسادة المهندسين يركزو في العرض ده مش...‎""‎",120209343963200517,"Post: ‎""‎طلاب هندسة والسادة المهندسين يركزو في العرض ده مش...‎""‎",120209343963840517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,12.695263
"Messages Ad: ‎جمع صحابك يلا نبقى قريبين!‎",EG,not_delivering,"7-day click or 1-day view",139,actions:onsite_conversion.messaging_conversation_started_7d,47306,2.051748,16.52309335,"Using campaign budget",0,2296.709975,2025-07-05,-,-,-,97060,23.662786,535,,4.292916,0.551205,2209,2.275912,1.039706,,,139,120228079259990517,"Messages Ad: ‎جمع صحابك يلا نبقى قريبين!‎",120228079259350517,"Messages Ad: ‎جمع صحابك يلا نبقى قريبين!‎",120228079259730517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,16.523093
"Post: ‎""‎احجز الآن أقوى دبلومة ميكانيكا شاملة – معتمدة...‎""‎",EG,not_delivering,"7-day click or 1-day view",45,actions:onsite_conversion.messaging_conversation_started_7d,12889,2.480642,29.63911111,"Using campaign budget",0,1333.76,Ongoing,-,-,-,31973,41.715197,160,,8.336,0.500422,533,1.667032,2.502364,,,45,120237312946050517,"Post: ‎""‎احجز الآن أقوى دبلومة ميكانيكا شاملة – معتمدة...‎""‎",120237312943160517,"Post: ‎""‎احجز الآن أقوى دبلومة ميكانيكا شاملة – معتمدة...‎""‎",120237312944080517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,29.639111
"Post: ‎""‎في مركز المتحدة للتدريب الهندسي (MTC)‎""‎",EG,not_delivering,"7-day click or 1-day view",17,actions:onsite_conversion.messaging_conversation_started_7d,4884,1.666462,21.89235294,"Using campaign budget",0,372.17,Ongoing,-,-,-,8139,45.726748,49,,7.595306,0.60204,187,2.29758,1.990214,,,17,120239132507540517,"Post: ‎""‎في مركز المتحدة للتدريب الهندسي (MTC)‎""‎",120239132506420517,"Post: ‎""‎في مركز المتحدة للتدريب الهندسي (MTC)‎""‎",120239132506750517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,21.892353
"Post: ‎""‎مطلوب مهندس حديث التخرج ... خبرة 10 سنين للعمل في...‎""‎",EG,not_delivering,"7-day click or 1-day view",11,actions:onsite_conversion.messaging_conversation_started_7d,0,0,31.06181818,"Using campaign budget",0,341.68,2024-06-02,-,-,-,21871,15.622514,35,,9.762286,0.160029,921,4.211056,0.370988,,,11,120209506729960517,"Post: ‎""‎مطلوب مهندس حديث التخرج ... خبرة 10 سنين للعمل في...‎""‎",120209506729590517,"Post: ‎""‎مطلوب مهندس حديث التخرج ... خبرة 10 سنين للعمل في...‎""‎",120209506729650517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,31.061818
"Post: ‎""‎بتحلم ونفسك تكون مصمم ديكور محترف وتعرف إزاي تعمل...‎""‎",EG,not_delivering,"7-day click or 1-day view",6,actions:onsite_conversion.messaging_conversation_started_7d,1708,1.267564,18.10166667,"Using campaign budget",0,108.61,2025-08-19,-,-,-,2165,50.166282,15,,7.240667,0.692841,53,2.448037,2.049245,,,6,120230846699530517,"Post: ‎""‎بتحلم ونفسك تكون مصمم ديكور محترف وتعرف إزاي تعمل...‎""‎",120230846698980517,"Post: ‎""‎بتحلم ونفسك تكون مصمم ديكور محترف وتعرف إزاي تعمل...‎""‎",120230846699160517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,18.101667
"Post: ‎""‎تدريب معماري احترافي لسوق العمل‎""‎",EG,not_delivering,"7-day click or 1-day view",30,actions:onsite_conversion.messaging_conversation_started_7d,4756,2.132675,22.79966667,"Using campaign budget",0,683.99,Ongoing,-,-,-,10143,67.434684,35,,19.542571,0.345066,292,2.878833,2.342432,,,30,120238236341430517,"Post: ‎""‎تدريب معماري احترافي لسوق العمل‎""‎",120238236340540517,"Post: ‎""‎تدريب معماري احترافي لسوق العمل‎""‎",120238236340780517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,22.799667
"Post: ‎""‎سواء كنت في مصر، السعودية، الإمارات، أو أي مكان...‎""‎",EG,not_delivering,"7-day click or 1-day view",104,actions:onsite_conversion.messaging_conversation_started_7d,20856,2.303558,25.29634623,"Using campaign budget",0,2630.820007,Ongoing,-,-,-,48043,54.759695,293,,8.978908,0.60987,1297,2.699665,2.028389,,,104,120240035109250517,"Post: ‎""‎سواء كنت في مصر، السعودية، الإمارات، أو أي مكان...‎""‎",120240035107810517,"Post: ‎""‎سواء كنت في مصر، السعودية، الإمارات، أو أي مكان...‎""‎",120240035108140517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,25.296346
